Job Title,Company Name,Location,Company Email,Name
Sales Executive - SaaS,LogicGo Infotech,"Ahmedabad, Gujarat • via LinkedIn",dhruvdave2112@gmail.com,Alex
Sales Executive in SaaS,LogicGo Infotech,"Surat, Gujarat • via LinkedIn",dhruvdave0108@gmail.com,Bob
Customer Success Manager (Saas),Fundamento,"New Delhi, Delhi • via LinkedIn",luciferinreallife@gmail.com,Lucifer
Business Development Representative (BDR) - B2B SaaS,EquityList,India (+2 others) • via Wellfound,221263131003seticse@gmail.com,Max
SaaS Customer Support Associate,APPTIVO SOFTWARE PVT LTD,"Madurai, Tamil Nadu • via Glassdoor",,
Head of Delivery | Fintech SaaS | International Markets,Michael Page,"Bengaluru, Karnataka • via Michael Page",,
Oracle SaaS Cloud Security - Senior Consultant,Deloitte,"Chennai, Tamil Nadu • via LinkedIn",,
Growth Marketer - B2B SaaS,Unifize,Karnataka • via Indeed,,
Marketing Head (B2B SaaS - Demand Generation),TAAS Partners,"Bengaluru, Karnataka • via ZipRecruiter India",,
Senior Business Analyst/Product Manager (SaaS),RunLoyal: Pet Software,Tamil Nadu • via JobServe,,
Business Development Executive Experience in Saas HRMS/CRM /PMS Product Domain Industry,Artoon Solutions Private Limited,"Ahmedabad, Gujarat • via LinkedIn",,
Visual Communication Designer - B2B SaaS(Marketing),Unifize,"Bengaluru, Karnataka • via Wellfound",,
"Product Design Lead, SAAS",Whatfix,"Bengaluru, Karnataka • via Trakstar",,
Sales Manager(SaaS Products-HRMS Solutions),pranathi software services pvt.ltd,India • via Shine,,
Application Manager (System Engineer for SaaS and Cloud Applications including MS Services),T-Systems ICT India Pvt. Ltd.,"Pune, Maharashtra • via Smart Recruiters Jobs",,
Chief Revenue Officer - SaaS/Cloud Services,Monica Mehra,"Greater Noida, Uttar Pradesh • via IIM Jobs",,
Enterprise Account Executive - DevOps & Tech SaaS (Enterprise India Market),"Katalon, Inc.","Bengaluru, Karnataka • via SimplyHired",,
Manager - Inside Sales - SaaS,ByteAlly,"Chennai, Tamil Nadu • via Cutshort",,
CXO's Office Role | SaaS Company | Hyd,Michael Page,"Hyderabad, Telangana • via Michael Page",,
Sales Executive (SaaS),Shipturtle,"Ahmedabad, Gujarat • via LinkedIn",,
SaaS sales executive,refrens.com,"Surat, Gujarat • via Glassdoor",,
Strategic Partnership and Alliance (SaaS) (Remote),SuperProcure,Anywhere • via Indeed,,
